symbol,status,missingRequiredRatingFields,missingPitAvailability,secCikNotFound,secRequestFailed
ABT,PARTIAL,false,true,false,false
ADI,PARTIAL,true,false,false,false
ADP,PARTIAL,true,false,false,false
AEP,PARTIAL,true,false,false,false
AMAT,PARTIAL,true,false,false,false
AVGO,PARTIAL,true,false,false,false
AZO,PARTIAL,false,true,false,false
CAH,PARTIAL,false,true,false,false
CALM,PARTIAL,true,false,false,false
CMCSA,PARTIAL,true,false,false,false
COST,PARTIAL,false,true,false,false
CROX,PARTIAL,true,false,false,false
EA,PARTIAL,true,false,false,false
ETN,PARTIAL,true,false,false,false
EW,PARTIAL,false,true,false,false
EXC,PARTIAL,true,false,false,false
EXPO,PARTIAL,true,true,false,false
FAST,PARTIAL,true,false,false,false
HON,PARTIAL,true,false,false,false
HSIC,PARTIAL,true,false,false,false
HWKN,PARTIAL,true,false,false,false
INTU,PARTIAL,true,false,false,false
ISRG,PARTIAL,true,false,false,false
KLAC,PARTIAL,true,false,false,false
KR,PARTIAL,false,true,false,false
LANC,FAIL,false,false,true,false
LRCX,PARTIAL,true,false,false,false
MCHP,PARTIAL,true,false,false,false
MDLZ,PARTIAL,true,false,false,false
MDT,PARTIAL,false,true,false,false
NEE,PARTIAL,false,true,false,false
NVDA,PARTIAL,true,false,false,false
OLED,PARTIAL,true,false,false,false
ORLY,PARTIAL,true,false,false,false
PCAR,PARTIAL,true,false,false,false
PEP,PARTIAL,true,true,false,false
PKG,PARTIAL,false,true,false,false
PLAB,PARTIAL,true,false,false,false
QCOM,PARTIAL,true,false,false,false
ROST,PARTIAL,true,false,false,false
SAIA,PARTIAL,true,false,false,false
SBUX,PARTIAL,true,false,false,false
TMO,PARTIAL,false,true,false,false
TMUS,PARTIAL,true,false,false,false
TXN,FAIL,false,false,false,true
UFPI,PARTIAL,true,false,false,false
VZ,PARTIAL,false,true,false,false
WDFC,PARTIAL,true,false,false,false
XEL,PARTIAL,true,false,false,false
